Name,Address,Category
Mario the Baker Pizza,"43 West Flagler Street, Miami, FL 33128, United States of America",Restaurant
Jimmy John's,"45 West Flagler Street, Miami, FL 33128, United States of America",Fast Food
Cane A Sucre,"Northwest Miami Court, Miami, FL 33128, United States of America",Fast Food
Motek - Mediterranean Cafe & Restaurant,"36 Northeast 1st Street, Miami, FL 33132, United States of America",Restaurant
Amarres de amor Florida,"43 Northeast 1st Street, Miami, FL 33132, United States of America",Restaurant
Vero italian,"Southeast 1st Street, Miami, FL 33131, United States of America",Restaurant
Alloy Bistro Gourmet,"154 Southeast 1st Avenue, Miami, FL 33131, United States of America",Restaurant
Meraki Greek Bistro,"142 Southeast 1st Avenue, Miami, FL 33131, United States of America",Restaurant
Wok Town,"Southeast 1st Avenue, Miami, FL 33131, United States of America",Restaurant
El Cartel Colombian Restaurant,"Southwest 2nd Street, Miami, FL 33131, United States of America",Restaurant
Camila's Restaurante Brasileiro,"129 Southeast 1st Avenue, Miami, FL 33131, United States of America",Restaurant
New York Bagel Deli,"East Flagler Street, Miami, FL 33131, United States of America",Restaurant
Giardino Gourmet Salads,"East Flagler Street, Miami, FL 33131, United States of America",Restaurant
Manna Life Food,"Northeast 2nd Avenue, Miami, FL 33137, United States of America",Restaurant
La Licuadora,"Northeast 2nd Avenue, Miami, FL 33137, United States of America",Restaurant
Manna Life Food,"80 Northeast 2nd Avenue, Miami, FL 33137, United States of America",Restaurant
New York Roma Pizza,"Southeast 2nd Avenue, Miami, FL 33131, United States of America",Restaurant
La Granja,"127 Southeast 2nd Avenue, Miami, FL 33131, United States of America",Restaurant
Jar and Fork,"270 East Flagler Street, Miami, FL 33131, United States of America",Restaurant
Pizza Hut,"Southeast 1st Street, Miami, FL 33131, United States of America",Restaurant
Tre Italian Bistro,"Southeast 3rd Avenue, Miami, FL 33131, United States of America",Restaurant
Iron Sushi,"Southeast 3rd Avenue, Miami, FL 33131, United States of America",Restaurant
Whole Foods Market,"299 Southeast 3rd Avenue, Miami, FL 33131, United States of America",Grocery Store
Subway,"Southeast 3rd Avenue, Miami, FL 33131, United States of America",Fast Food
Subway,"Northeast 3rd Street, Miami, FL 33132, United States of America",Fast Food
Peruano,"Northeast 3rd Avenue, Miami, FL 33132, United States of America",Restaurant
Manolo & Rene Grill,"188 Northeast 3rd Avenue, Miami, FL 33132, United States of America",Restaurant
McDonald's,"345 Northeast 2nd Avenue, Miami, FL 33132, United States of America",Fast Food
CVI.CHE 105,"105 Northeast 3rd Avenue, Miami, FL 33132, United States of America",Restaurant
Pollos & Jarras,"Northeast 3rd Avenue, Miami, FL 33132, United States of America",Restaurant
Pollo Tropical,"Southeast 1st Street, Miami, FL 33131, United States of America",Fast Food
Ten Fruits,"143 Northeast 3rd Avenue, Miami, FL 33132, United States of America",Restaurant
Smoothie King,"248 Biscayne Boulevard, Miami, FL 33132, United States of America",Fast Food
The Capital Grille,"444 Brickell Avenue, Miami, FL 33131, United States of America",Restaurant
«Zuma»,"300 Southeast 4th Street, Miami, FL 33131, United States of America",Restaurant
La Santa Taqueria,"114 Southwest North River Drive, Miami, FL 33130, United States of America",Restaurant
Novikov,"300 Biscayne Boulevard, Miami, FL 33131, United States of America",Restaurant
The Cocinita Miami,"70 Southeast 5th Street, Miami, FL 33131, United States of America",Restaurant
American Social,"690 Southwest 1st Court, Miami, FL 33130, United States of America",Restaurant
River Oyster bar,"South Miami Avenue, Miami, FL 33131, United States of America",Restaurant
Bubba Gump Shrimp Company,"401 Biscayne Boulevard, Miami, FL 33132, United States of America",Restaurant
Carribean Life,"401 Biscayne Boulevard, Miami, FL 33132, United States of America",Grocery Store
Five Guys,"401 Biscayne Boulevard, Miami, FL 33132, United States of America",Fast Food
Blackbird Ordinary,"729 Southwest 1st Avenue, Miami, FL 33131, United States of America",Restaurant
Latin American Cuisine,"401 Biscayne Boulevard, Miami, FL 33132, United States of America",Restaurant
Toasted Bagelry & Deli,"83 Southwest 8th Street, Miami, FL 33130, United States of America",Fast Food
La Moon,"97 Southwest 8th Street, Miami, FL 33131, United States of America",Restaurant
Hooters,"401 Biscayne Boulevard, Miami, FL 33132, United States of America",Restaurant
Brawy Seafood,"401 Biscayne Boulevard, Miami, FL 33132, United States of America",Restaurant
Pucci’s Pizza,"401 Biscayne Boulevard, Miami, FL 33132, United States of America",Fast Food
Publix,"Southwest 3rd Avenue, Miami, FL 33130, United States of America",Grocery Store
Burger King,"South Miami Avenue, Miami, FL 33131, United States of America",Fast Food
«Il Gabbiano»,"205 Biscayne Boulevard, Miami, FL 33131, United States of America",Restaurant
Gyro House,"401 Biscayne Boulevard, Miami, FL 33132, United States of America",Restaurant
Kelly's Cajun Grill,"401 Biscayne Boulevard, Miami, FL 33132, United States of America",Fast Food
Auntie Anne's,"401 Biscayne Boulevard, Miami, FL 33132, United States of America",Fast Food
Truluck's Ocean's Finest Seafood and Crab,"777 Brickell Avenue, Miami, FL 33131, United States of America",Restaurant
Chili's,"401 Biscayne Boulevard, Miami, FL 33132, United States of America",Restaurant
La Sandwicherie,"34 Southwest 8th Street, Miami, FL 33130, United States of America",Restaurant
Largo Bar & Grill,"401 Biscayne Boulevard, Miami, FL 33132, United States of America",Restaurant
Tradewinds Waterfront Bar And Grill,"401 Biscayne Boulevard, Miami, FL 33132, United States of America",Restaurant
Mambo Cafe,"401 Biscayne Boulevard, Miami, FL 33132, United States of America",Restaurant
Chicken Kitchen,"Southeast 1st Avenue, Miami, FL 33131, United States of America",Fast Food
Los Ranchos Steakhouse,"401 Biscayne Boulevard, Miami, FL 33132, United States of America",Restaurant
The Knife Parrilla Argentina,"401 Biscayne Boulevard, Miami, FL 33132, United States of America",Restaurant
Subway,"Northeast 8th Street, Miami, FL 33132, United States of America",Fast Food
Hard Rock Cafe,"401 Biscayne Boulevard, Miami, FL 33132, United States of America",Restaurant
Subway,"Southwest 8th Street, Miami, FL 33130, United States of America",Fast Food
P.F. Chang's,"901 South Miami Avenue, Miami, FL 33131, United States of America",Restaurant
Wendy's,"200 Southwest 8th Street, Miami, FL 33130, United States of America",Fast Food
Sushi Sake,"Southwest 8th Street, Miami, FL 33130, United States of America",Restaurant
McDonald's,"299 Southwest 8th Street, Miami, FL 33130, United States of America",Fast Food
Babados FOR NOW! Wholesales,"14 Northwest 9th Street, Miami, FL 33136, United States of America",Grocery Store
Publix,"911 Southwest 1st Avenue, Miami, FL 33130, United States of America",Grocery Store
Komodo,"Brickell Avenue, Miami, FL 33131, United States of America",Restaurant
B&B Joint,"901 South Miami Avenue, Miami, FL 33130, United States of America",Restaurant
Munchies at Brickell,"Southwest 8th Street, Miami, FL 33130, United States of America",Fast Food
Chick'n Grill,"Southwest 8th Street, Miami, FL 33130, United States of America",Restaurant
Okeydokey,"268 Southwest 8th Street, Miami, FL 33130, United States of America",Restaurant
North Italia,"Southwest 10th Street, Miami, FL 33130, United States of America",Restaurant
Sushi Siam,"Brickell Avenue, Miami, FL 33131, United States of America",Restaurant
Red Rooster Overtown,"920 Northwest 2nd Avenue, Miami, FL 33136, United States of America",Restaurant
"García,s Seafood","308 Northwest North River Drive, Miami, FL 33128, United States of America",Restaurant
Dunkin',"940 Southwest 1st Avenue, Miami, FL 33130, United States of America",Fast Food
Power Pizza,"50 Southwest 10th Street, Miami, FL 33130, United States of America",Fast Food
Baires grill Brickell,"South Miami Avenue, Miami, FL 33131, United States of America",Restaurant
412; Northwest North River Drive,"Miami, FL 33128, United States of America",Restaurant
Smoothie King,"South Miami Avenue, Miami, FL 33131, United States of America",Fast Food
La Gazzetta,"South Miami Avenue, Miami, FL 33131, United States of America",Restaurant
Baires grill,"1010 South Miami Avenue, Miami, FL 33130, United States of America",Restaurant
Nusr-Et,"1000 Brickell Avenue, Miami, FL 33131, United States of America",Restaurant
1036 South Miami Avenue,"Miami, FL 33130, United States of America",Restaurant
Seaspice Brasserie & Lounge,"422 Northwest North River Drive, Miami, FL 33128, United States of America",Restaurant
Papa John's,"400 Southwest 8th Street, Miami, FL 33130, United States of America",Fast Food
Jackson Soul Food,"950 Northwest 3rd Avenue, Miami, FL 33136, United States of America",Restaurant
Au Bon Pain,"1001 Baywalk, Miami, FL 33131, United States of America",Fast Food
Cvltvra,"Northeast 11th Street, Miami, FL 33132, United States of America",Restaurant
Crust,"668 Northwest 5th Street, Miami, FL 33128, United States of America",Restaurant
PIOLA BRICKELL,"1250 South Miami Avenue, Miami, FL 33130, United States of America",Restaurant
Presidente Supermarket,"504 Southwest 8th Street, Miami, FL 33130, United States of America",Grocery Store
China Lee,"Southwest 8th Street, Miami, FL 33130, United States of America",Restaurant
The Arketekt by Aficionados,"1200 Brickell Bay Drive, Miami, FL 33131, United States of America",Restaurant
Publix,"Southwest 13th Street, Miami, FL 33131, United States of America",Grocery Store
Vapiano,"Southeast 13th Street, Miami, FL 33131, United States of America",Restaurant
Paperfish Sushi,"1421 South Miami Avenue, Miami, FL 33130, United States of America",Restaurant
The Café at Books and Books,"1300 Biscayne Boulevard, Miami, FL 33132, United States of America",Restaurant
Verde,"1103 Biscayne Boulevard, Miami, FL 33132, United States of America",Restaurant
Lil Greenhouse Grill,"1300 Northwest 3rd Avenue, Miami, FL 33136, United States of America",Restaurant
Perricone's Marketplace & Cafe,"1700 Southwest 3rd Avenue, Miami, FL 33129, United States of America",Restaurant
Havana 1957 Cuban Cuisine Brickell,"South Miami Avenue, Miami, FL 33131, United States of America",Restaurant
Little Caesars,"827 Southwest 8th Avenue, Miami, FL 33130, United States of America",Fast Food
Subway,"Northeast 15th Street, Miami, FL 33132, United States of America",Fast Food
McDonald's,"1016 West Flagler Street, Miami, FL 33130, United States of America",Fast Food
Southwest 1st Avenue,"Miami, FL 33129, United States of America",Grocery Store
Publix,"Southwest 1st Avenue, Miami, FL 33129, United States of America",Grocery Store
Cafe La Trova,"971 Southwest 8th Street, Miami, FL 33130, United States of America",Restaurant
Checkers,"1650 Biscayne Boulevard, Miami, FL 33132, United States of America",Fast Food
Taco Bell,"966 Southwest 8th Street, Miami, FL 33130, United States of America",Fast Food
Mike's at Venetia,"555 Northeast 15th Street, Miami, FL 33132, United States of America",Restaurant
Doughnut Break,"1653 North Miami Avenue, Miami, FL 33136, United States of America",Fast Food
Taula,"Northeast 17th Street, Miami, FL 33132, United States of America",Restaurant
Burger King,"Biscayne Boulevard, Miami, FL 33132, United States of America",Fast Food
Publix,"1776 Biscayne Boulevard, Miami, FL 33132, United States of America",Grocery Store
Pinolandia,"119 Southwest 12th Avenue, Miami, FL 33128, United States of America",Restaurant
Opera House,"1750 North Bayshore Drive, Miami, FL 33132, United States of America",Restaurant
Mignonette,"210 Northeast 18th Street, Miami, FL 33132, United States of America",Restaurant
Little Bread Cuban Sandwich Co.,"541 Southwest 12th Avenue, Miami, FL 33129, United States of America",Restaurant
3 Chefs Chinese & Vietnamese Food,"1800 Biscayne Boulevard, Miami, FL 33132, United States of America",Restaurant
Price Choice,"1851 Northeast 2nd Avenue, Miami, FL 33132, United States of America",Grocery Store
BIN 18,"1800 Biscayne Boulevard, Miami, FL 33132, United States of America",Restaurant
Rakachaka Grill y Más,"1280 Southwest 1st Street, Miami, FL 33135, United States of America",Restaurant
The Daily Creative Food Co.,"2001 Biscayne Boulevard, Miami, FL 33137, United States of America",Restaurant
Parrot Jungle Trail,"Miami, FL 33132, United States of America",Restaurant
Subway,"Northwest 14th Terrace, Miami, FL 33136, United States of America",Fast Food
El Nuevo Siglo,"Southwest 8th Street, Miami, FL 33130, United States of America",Restaurant
McDonald's,"901 Northwest 17th Street, Miami, FL 33136, United States of America",Fast Food
Au Bon Pain,"1611 Northwest 12th Avenue, Miami, FL 33136, United States of America",Fast Food
Dunkin',"1611 Northwest 12th Avenue, Miami, FL 33136, United States of America",Fast Food
El Taquito,"Southwest 8th Street, Miami, FL 33130, United States of America",Restaurant
McDonald's,"Southwest 8th Street, Miami, FL 33130, United States of America",Fast Food
Old‘s Havana,"1440 Southwest 8th Street, Miami, FL 33135, United States of America",Restaurant
FREEHOLD Miami,"2219 Northwest 2nd Avenue, Miami, FL 33127, United States of America",Restaurant
Azucar Ice Cream Company,"1503 Southwest 8th Street, Miami, FL 33135, United States of America",Restaurant
The Salty Donut,"50 Northwest 23rd Street, Miami, FL 33127, United States of America",Fast Food
Chick-fil-A,"1410 Northwest North River Drive, Miami, FL 33125, United States of America",Fast Food
El Pub,"Southwest 8th Street, Miami, FL 33130, United States of America",Restaurant
Mad Butcher,"2300 Northwest 2nd Avenue, Miami, FL 33127, United States of America",Restaurant
Yambo,"Southwest 1st Street, Miami, FL 33135, United States of America",Restaurant
Domino's,"1575 Southwest 8th Street, Miami, FL 33135, United States of America",Fast Food
Coyo Taco,"Northwest 2nd Avenue, Miami, FL 33136, United States of America",Restaurant
305 Pizza,"151 Northwest 24th Street, Miami, FL 33127, United States of America",Restaurant
Subway,"2336 Biscayne Boulevard, Miami, FL 33137, United States of America",Fast Food
Subway,"1575 Southwest 8th Street, Miami, FL 33135, United States of America",Fast Food
Le Chick Miami,"310 Northwest 24th Street, Miami, FL 33127, United States of America",Restaurant
Le Chick Miami,"310 Northwest 24th Street, Miami, FL 33127, United States of America",Restaurant
Wynwood Smoke and Lounge,"320 Northwest 24th Street, Miami, FL 33127, United States of America",Restaurant
Manta Miami,"100 Northwest 25th Street, Miami, FL 33127, United States of America",Restaurant
Edukos Gastro Tavern,"West Flagler Street, Miami, FL 33135, United States of America",Restaurant
Fiesta Café Shop,"Southwest 1st Street, Miami, FL 33135, United States of America",Restaurant
DOYA,"Northwest 24th Street, Miami, FL 33127, United States of America",Restaurant
Baccano,"97 Northwest 25th Street, Miami, FL 33127, United States of America",Restaurant
GK Bistronomie,"214 Northwest 25th Street, Miami, FL 33127, United States of America",Restaurant
El Atlacatl,"466 Southwest 17th Avenue, Miami, FL 33135, United States of America",Restaurant
Joey's Italian Cuisine,"2506 Northwest 2nd Avenue, Miami, FL 33127, United States of America",Restaurant
Mmmm,"2519 Northwest 2nd Avenue, Miami, FL 33136, United States of America",Restaurant
Wynwood Kitchen & Bar,"Northwest 26th Street, Miami, FL 33127, United States of America",Restaurant
73 Northwest 27th Street,"Miami, FL 33127, United States of America",Restaurant
The Taco Stand,"313 Northwest 25th Street, Miami, FL 33127, United States of America",Fast Food
Dōma,"35 Northeast 26th Street, Miami, FL 33137, United States of America",Restaurant
Jugofresh,"Northwest 26th Street, Miami, FL 33127, United States of America",Restaurant
Wynwood Diner,"Northwest 26th Street, Miami, FL 33127, United States of America",Restaurant
Shelter Restaurant - Miami,"10 Northeast 27th Street, Miami, FL 33137, United States of America",Restaurant
Lung Yai Thai Tappas,"1731 Southwest 8th Street, Miami, FL 33135, United States of America",Restaurant
Beaker and gray,"2637 North Miami Avenue, Miami, FL 33137, United States of America",Restaurant
Serendipity,"421 Northwest 26th Street, Miami, FL 33127, United States of America",Fast Food
Suviche,"2751 North Miami Avenue, Miami, FL 33137, United States of America",Restaurant
Love Life Café,"Northwest 5th Avenue, Miami, FL 33127, United States of America",Restaurant
Bariloche Gourmet,"1198 Southwest 17th Avenue, Miami, FL 33135, United States of America",Restaurant
Pride and Joy BBQ,"2800 North Miami Avenue, Miami, FL 33127, United States of America",Restaurant
Exupery Burger & Tacos,"Southwest 8th Street, Miami, FL 33135, United States of America",Restaurant
Bakan Wynwood,"2801 Northwest 2nd Avenue, Miami, FL 33127, United States of America",Restaurant
Morgan's,"Northeast 29th Street, Miami, FL 33137, United States of America",Restaurant
Mykonos,"1201 Southwest 22nd Street, Miami, FL 33145, United States of America",Restaurant
El Rey de las Fritas,"1815 Southwest 8th Street, Miami, FL 33135, United States of America",Restaurant
Flyfuel Food Co.,"154 Northeast 29th Street, Miami, FL 33137, United States of America",Restaurant
Enriqueta's Sandwich Shop,"186 Northeast 29th Street, Miami, FL 33137, United States of America",Restaurant
Presidente Supermarket,"1895 Southwest 8th Street, Miami, FL 33135, United States of America",Grocery Store
Hometown Barbecue,"1200 Northwest 22nd Street, Miami, FL 33142, United States of America",Restaurant
Salsa Fiesta,"Biscayne Boulevard, Miami, FL 33137, United States of America",Restaurant
Rusty Pelican,"3201 Rickenbacker Causeway, Miami, FL 33149, United States of America",Restaurant
Mi rinconcito mexicano,"Southwest 8th Street, Miami, FL 33135, United States of America",Restaurant
Asian Thai Kitchen,"Southwest 8th Street, Miami, FL 33135, United States of America",Restaurant
Popeyes,"1501 Northwest 20th Street, Miami, FL 33142, United States of America",Fast Food
Amara at Paraiso,"3101 Northeast 7th Avenue, Miami, FL 33137, United States of America",Restaurant
Latin American,"Southwest 22nd Street, Miami, FL 33129, United States of America",Restaurant
Fritanga La Gata,"Southwest 21st Court, Miami, FL 33135, United States of America",Fast Food
Publix,"Southwest 22nd Avenue, Miami, FL 33135, United States of America",Grocery Store
Los Nuevos Jarritos,"Southwest 22nd Avenue, Miami, FL 33133, United States of America",Restaurant
Rubio's,"3201 North Miami Avenue, Miami, FL 33137, United States of America",Fast Food
Wendy's,"3301 Biscayne Boulevard, Miami, FL 33137, United States of America",Fast Food
Lagniappe,"3425 Northeast 2nd Avenue, Miami, FL 33137, United States of America",Restaurant
Pollo Tropical,"332 Northeast 35th Street, Miami, FL 33137, United States of America",Fast Food
Coral House Italian Restaurant,"1762 Southwest 22nd Street, Miami, FL 33145, United States of America",Restaurant
McDonald's,"3501 Biscayne Boulevard, Miami, FL 33137, United States of America",Fast Food
Atlantica Seafood Restaurant and Market,"Vero Street, Miami, FL 33131, United States of America",Restaurant
Taco Bell,"3595 Biscayne Boulevard, Miami, FL 33137, United States of America",Fast Food
Denny's,"3600 Biscayne Boulevard, Miami, FL 33137, United States of America",Restaurant
Casola's Pizzeria & Sub Shop,"2437 Southwest 17th Avenue, Miami, FL 33145, United States of America",Restaurant
Old Greg’s Pizza,"3620 Northeast 2nd Avenue, Miami, FL 33137, United States of America",Restaurant
Rey's Pizza,"2391 West Flagler Street, Miami, FL 33135, United States of America",Restaurant
Burger King,"1 Southwest 24th Avenue, Miami, FL 33135, United States of America",Fast Food
Taco Bell,"Southwest 8th Street, Miami, FL 33135, United States of America",Fast Food
Quiznos,"2490 Southwest 17th Avenue, Miami, FL 33145, United States of America",Fast Food
KFC,"Southwest 8th Street, Miami, FL 33135, United States of America",Fast Food
ITAMAE,"140 Northeast 39th Street, Miami, FL 33137, United States of America",Restaurant
PURA VIDA,"3818 Northeast 1st Avenue, Miami, FL 33137, United States of America",Restaurant
Northeast 39th Street,"Miami, FL 33137, United States of America",Restaurant
MIA MARKET,"140 Northeast 39th Street, Miami, FL 33137, United States of America",Restaurant
SWAN & BAR BEVY,"90 Northeast 39th Street, Miami, FL 33137, United States of America",Restaurant
Harry's Pizzeria,"3918 North Miami Avenue, Miami, FL 33127, United States of America",Restaurant
COTE MIAMI,"3900 Northeast 2nd Avenue, Miami, FL 33137, United States of America",Restaurant
MICHAEL'S GENUINE FOOD & DRINK,"130 Northeast 40th Street, Miami, FL 33137, United States of America",Restaurant
Casa Juancho,"2436 Southwest 8th Street, Miami, FL 33135, United States of America",Restaurant
Tacomi,"3930 Northeast 2nd Avenue, Miami, FL 33137, United States of America",Restaurant
YOSO Sushi,"87 Northeast 40th Street, Miami, FL 33137, United States of America",Restaurant
CAJA CALIENTE TRUCK,"95 Northeast 40th Street, Miami, FL 33137, United States of America",Restaurant
OKAMI,"156 Northeast 41st Street, Miami, FL 33137, United States of America",Restaurant
MC KITCHEN,"4141 Northeast 2nd Avenue, Miami, FL 33137, United States of America",Restaurant
MERCATO,"4141 Northeast 2nd Avenue, Miami, FL 33137, United States of America",Restaurant
JAPOW,"Paseo Ponti, Miami, FL 33137, United States of America",Restaurant
ZZ’s Sushi Bar,"151 Northeast 41st Street, Miami, FL 33137, United States of America",Restaurant
LE JARDINIER,"151 Northeast 41st Street, Miami, FL 33137, United States of America",Restaurant
L'ATELIER DE JOEL ROBUCHON,"151 Northeast 41st Street, Miami, FL 33137, United States of America",Restaurant
Ponte Vecchio Ristorante e Pizzeria,"2250 Southwest 22nd Street, Miami, FL 33145, United States of America",Restaurant
Antigua Guatemala,"2741 West Flagler Street, Miami, FL 33135, United States of America",Restaurant
Fritanga Caña Brava,"2795 Northwest 7th Street, Miami, FL 33125, United States of America",Restaurant
Pollo Campero,"2800 Southwest 8th Street, Miami, FL 33135, United States of America",Fast Food
The District Miami,"190 Northeast 46th Street, Miami, FL 33137, United States of America",Restaurant
McDonald's,"2920 Southwest 8th Street, Miami, FL 33135, United States of America",Fast Food
Palat,"4702 Northeast 2nd Avenue, Miami, FL 33137, United States of America",Restaurant
Los Amigos Supermarket,"Northwest 7th Street, Miami, FL 33126, United States of America",Grocery Store
